skill	category	evidence	size	priority	proposal	preserve	validation	confidence	source
alaa-gitlab-ci-cd	Infrastructure/delivery	references/feature-version-notes.md:40+ snapshot19.2 versus stable19.4	Minor	P2	W4 refresh feature ledger without raising minimum blindly	Instance/Runner authority; lint gates; authorization	Own checker and CI lint against selected target version	High	https://about.gitlab.com/whats-new/
alaa-go-chi-development	Backend/Go	SKILL.md:19-25,46-63 defers facts to kit; kit not inspected	Not assessed	Defer	Keep kit authority; assess current kit before changes	Kit phase/ownership boundaries; consumer compatibility	Current kit manifests and gates	Medium	Current alaa-go-chi kit required
alaa-golang	Backend/Go	references/70-modern-go-baseline.md:10 kit1.26.5 snapshot; stable1.27.1	Minor	P1	W4 version-aware baseline review; no automatic toolchain migration	Kit go.mod authority; compatibility; proof	Kit/consumer go.mod and exact toolchain tests	High	https://go.dev/doc/devel/release
alaa-golang-clean-code-principles	Backend/Go	SKILL.md:47-69,75-95 principle routes; kit evidence missing	Not assessed	Defer	Retain principles pending source-linked kit review	Principle numbering; proof; owner boundaries	Selected kit examples and native Go checks	Medium	Current kit source required
alaa-golang-fiber	Backend/Go	references/SOURCES.md:29 v3.3.0/go1.25 snapshot; exact latest patch not verified	Not assessed	Defer	Reverify APIs before choosing an update	Fiber v3 boundaries; dated API evidence	Installed pin and relevant API examples	Medium	https://docs.gofiber.io/next/whats_new/
alaa-haproxy	Infrastructure/operations	references/10-version-and-branch.md:8 3.4.2 snapshot versus3.4.5	Minor	P2	W4 refresh supported-branch ledger	Branch/LTS choice; parser proof; security behavior	Own checker plus haproxy -c on target binary	High	https://www2.haproxy.org/
alaa-haproxy-lua	Infrastructure/operations	SKILL.md:25-40 native-first/nil/yield rules; target API unverified	Not assessed	Defer	Retain rules until exact binary/API audit	Failure/security distinction; yield and nil guards	Own checker and target HAProxy Lua scenarios	Medium	https://www.haproxy.com/documentation/haproxy-lua-api/
alaa-indexeddb-browser-storage	Frontend/storage	SKILL.md:14-35 boundaries; references/99-sources.md:3 July browser snapshot	Not assessed	Defer	Validate selected browser APIs and supported versions first	Transaction completion; secret exclusion; eviction; multi-tab	Target browser storage and failure scenarios	Medium	https://www.w3.org/TR/IndexedDB/
alaa-input-normalization	Backend/contracts	references/10-normalization-contract.md:70-73,112-114 contradict NFC length; references/30-backend-middleware-binding.md:44-65 undefined fieldName	Minor	P1	F11 correct invariant relative to NFC(input); complete Laravel helper example	Nd folding; NFC; text/typed split; value-only traversal; before-validation order; corpus	Four-runtime harness; Laravel nested field example; decomposed-Unicode regression; Python-only self-test already passed	High	https://github.com/laravel/framework/blob/13.x/src/Illuminate/Foundation/Http/Middleware/TransformsRequest.php
alaa-k8s-helm	Infrastructure/platform	references/version-awareness.md:23-37 current1.36/support1.34-1.36 stale versus1.37/support1.35-1.37	Minor	P1	W4 refresh K8s/Helm ledger and API compatibility boundaries	Actual cluster discovery; namespace/RBAC; dual Helm major	check_versions and target Helm/manifests proof	High	https://kubernetes.io/releases/
alaa-keyset-pagination	Backend/contracts	SKILL.md:18-60 signed cursor/order safeguards; consumer examples unverified	Not assessed	Defer	Retain contract until consumer-framework assessment	Context binding; tamper rejection; deterministic order	Cursor/order/tamper cases against current consumer	Medium	https://laravel.com/docs/13.x/pagination
alaa-laravel-architecture	Backend/PHP	SKILL.md:14-47 legal layers; consumer gate not exercised	Not assessed	Defer	No change without current consumer architecture	Legal call graph; authority of architecture gate	Existing layer checker on consumer	Medium	https://laravel.com/docs/13.x
alaa-laravel-job-rabbitmq	Data/messaging	references/driver-facts.md:33 driver15/Laravel13 snapshot; installed-source check already required	Minor	P1	W4 verify driver/monitor-method deltas before refreshing facts	Publish/worker/recovery/shutdown/redelivery semantics	Consumer lock/source plus broker-truth scenarios	Medium	https://www.rabbitmq.com/release-information
alaa-laravel-public-api-contract-pack	Backend/contracts	SKILL.md:27-33,75-97 rejects unresolved versioning; no consumer pack assessed	Not assessed	Defer	Preserve refusal until executable routes/contracts inspected	Uncertainty markers; route truth; public contract coverage	Actual route/schema/collection comparison	Medium	https://laravel.com/docs/13.x/routing
alaa-laravel-upgrade-all-packages	Backend/dependencies	SKILL.md:20-39 separates locks/manifests/runtime; no target lock available	Not assessed	Defer	No upgrade recommendation without consumer evidence	Rollback; advisory gates; runtime proof	Consumer dependency and migration gates	Medium	https://laravel.com/docs/13.x/upgrade
alaa-low-noise	Governance/retrieval	SKILL.md:16-19 host-aware bounded calls; model-output-profiles routes to owner; deep scripts coverage limited	Not assessed	Defer	Retain behavior; resolve paired-orchestrator cadence in their scope	Evidence completeness; independent gates; bounded output	Scenario-based equivalence for any selected compression	Medium	https://developers.openai.com/blog/rethinking-skills-and-prompts-for-gpt-6-astra
alaa-makefile	Infrastructure/tooling	SKILL.md:15-21,76-80 exact gate parity; Make4.4.1 snapshot	Not assessed	Defer	Check supported target Make before edits	Exact runner parity; no ignored exit status	validate_makefile plus make -n on target	Medium	https://www.gnu.org/software/make/
alaa-memory-os	Governance/knowledge	references/store-hindsight.md:7 older0.9.1/0.3.4; global local versus source hindsight drift	Minor	P1	F05 source ledger/compatibility refresh; global and installed changes separate	Single adapter; recall fail-open; writes fail-closed; privacy	Source checks; separate installed/version evidence after authorization	High core; package latest provisional	https://github.com/vectorize-io/hindsight/releases
alaa-minio-object-storage	Data/storage	SKILL.md:22-71,104-120 posture and dated service claims; provider/consumer absent	Not assessed	Defer	Do not change compatibility without provider evidence	Retention; credentials; service truth	Current provider and consumer posture checks	Medium	Official provider contract and target deployment required
alaa-mongodb-patterns	Data/storage	references/source-map.md:10-13 deployed server/driver authority; latest8.3 does not prove consumer	Not assessed	Defer	Keep server/driver matrix boundary	Tenant/data-layer contracts; installed-source authority	Target server/driver and failure cases	Medium	https://www.mongodb.com/docs/manual/release-notes/
alaa-mono-package	Frontend/packages	SKILL.md:22-38 clean-island boundary; references/15 snapshot pnpm11.10	Not assessed	Defer	Inspect consumer workspace exports/locks first	Peers; exports; isolation; ownership	verify-package-entrypoints and consumer builds	Medium	https://nodejs.org/api/packages.html
alaa-observability-soc	Infrastructure/observability	SKILL.md:28-69 owns requirement levels; target vendor config unobserved	Not assessed	Defer	Retain canonical names versus requirement ownership	Three signals; privacy; fail-open telemetry	Own gates on actual target configuration	Medium	https://opentelemetry.io/docs/specs/
alaa-octane-performance	Backend/PHP	SKILL.md:21-76,133-144 lifetime/freshness triggers; consumer pins unknown	Not assessed	Defer	Check installed server/Octane before API changes	Cross-request isolation; worker lifecycle	Actual consumer long-lived worker tests	Medium	https://laravel.com/docs/13.x/octane
alaa-partitioned-table-fk-audit	Data/storage	SKILL.md:8-13,34-64 detector and regression obligations; executable proof unrun	Not assessed	Defer	Assess detector on target major before change	Composite-key semantics; lock safety; regression proof	Detector fixtures and target Postgres schema	Medium	https://www.postgresql.org/docs/
alaa-permission-generator	Backend/contracts	SKILL.md:30-34 commits machine-specific source_root assertion	Minor	P1	F04 read actual configured root; keep hard stop; no external catalog edit	Catalog authority; no hand-built maps; missing-checkout stop	Configured-root/missing-root cases; native refs	High	Current external catalog remains authoritative
alaa-php-clean-code	Backend/PHP	SKILL.md:24-28 PHP8.5/Laravel13 new-service target and consumer override	Not assessed	Defer	Retain target policy; full examples/consumer not assessed	Existing composer authority; strictness; clean-code behavior	Consumer composer and focused examples	Medium	https://www.php.net/downloads.php
alaa-postman-collections	Documentation/tools	SKILL.md:35-70 assertions/examples/importability; schema/runtime unverified	Not assessed	Defer	Verify current schema and importer before changes	Saved examples; assertions; contract coverage	Own checker and real import on selected runtime	Medium	https://schema.getpostman.com/
alaa-project-constitution	Governance/architecture	SKILL.md:10 separates fact and obligation; archetype/validator coverage incomplete	Not assessed	Defer	Retain ratification; inspect selected template before edit	Historical decisions; source-backed metrics; authority	Selected template/validator and ratification scenarios	Medium	Repository constitution and quality-bar owner
alaa-prompting-guide	Governance/prompting	Current policies validated; Claude source completion pending; F06 runtime claims must have single owner	Minor	P1	Provisional F06 canonical host-aware runtime facts; keep model pins unchanged	Cross-runtime invocation; explicit authority; compression equivalence; unrun calibration	Policy/projection and instruction gates; later authorized representative evals	High source; activation unknown	https://learn.chatgpt.com/docs/agent-configuration/subagents
alaa-quasar-app-vite-v3	Frontend/framework	references/80-upstream-deltas-and-live-checks.md:30+ 3.2 snapshot versus3.3	Minor	P2	W4 refresh version delta ledger	Consumer v2 maintenance and explicit v3 migration	Version checker and selected app build	High	https://github.com/quasarframework/quasar/releases
alaa-reliability-sla	Architecture/reliability	Blanket caller-deadline queue expiry conflicts with durable receipt in references/40-admission-and-shedding.md:9-14; duplicate router	Fundamental	P1	F03 split synchronous deadline from durable validity; F07 router separately	Bounded depth/wait; admission; receipts; retries; failure proof	Waiting versus receipted durable job matrix; async/contract review; native refs	High wording; consumer impact inferred	Repository reliability/async/contracts; consumer proof required
alaa-repo-docs	Documentation	SKILL.md:36 source-first/native markup; one map pointer; full references not audited	Not assessed	Defer	Retain body behavior; no rewrite justified	Source truth; secret exclusion; document grades	Selected docs renderer and factual link checks	Medium	Repository documentation owner
alaa-security-review	Architecture/security	SKILL.md:36 clear fail-closed/gates; ASVS stable distinct from bleeding edge; full refs not audited	Not assessed	Defer	Retain doctrine; no standards migration proposed	Negative tests; complete triggers; actionable verdicts	Selected threat/failure scenarios and independent security judgment	Medium	https://github.com/OWASP/ASVS/releases
alaa-services-contract	Architecture/contracts	SKILL.md:48-73 repeats router despite22 refs/topic-map; consumer adoption unobserved	Minor	P2	F07 consolidate routes; F03 impacts assessed serially if selected	Exact wire names; values; deprecation; security; conformance	Trigger equivalence; fleet refs; affected consumer contracts	High routing; consumer unknown	Repository shared contract owner
alaa-shaka-player	Frontend/media	SKILL.md:27 pin5.2.3 versus stable5.2.11	Minor	P2	W4 inspect API/default deltas; refresh ledger only	Consumer exact pin; attach/destroy/error handling; credentials	Own checks and exact target player/browser scenarios	High	https://github.com/shaka-project/shaka-player/releases
alaa-signoz-clickhouse-docs	Infrastructure/observability	references/90-versions.md:10-24 older SigNoz/ClickHouse; alert API removal needs assessment	Minor	P1	W4 refresh schema/version/API lifecycle guidance	Installed schema truth; explicit fallback labels; privacy	Own SQL/schema checks against actual supported deployment	High	https://signoz.io/changelog/
alaa-sms-provider-mediana	Data/integrations	references/40-vendor-contract-clues.md:7-11 sample lacks provenance and stays unverified	Not assessed	P1	W5 obtain primary contract before expanded send guidance	Ambiguous-send handling; idempotency; vendor boundary	Dated vendor contract and send-status failure fixtures	High for evidence gap	Official provider contract unresolved
alaa-system-design	Architecture/design	SKILL.md:15 six triggers and alternatives/rollout; full refs and consumers not assessed	Not assessed	Defer	Retain design doctrine; no generic shortening	Review before implementation; data owner; reversal; authority	Selected design/rollback decisions and independent review	Medium	Repository design doctrine
alaa-testing-strategy	Architecture/testing	SKILL.md:59 failure modes/proof tiers; runner versions not material to body; refs partly assessed	Not assessed	Defer	Retain proof tiers and gate strength	Final-candidate proof; independent acceptance; honest doubles	Actual workload failure-mode evidence before policy change	Medium	Repository proof-level owner
alaa-trust-gateway-auth	Architecture/security	SKILL.md:18-72,85-90 fail-closed trust; gateway/current contract not inspected	Not assessed	Defer	No change without gateway/service contract evidence	Headers; identity; tenancy; fail-closed behavior	Actual gateway negative/auth boundary tests	Medium	Current gateway contract and repository checker
alaa-ui-ux-design-system	Frontend/design	SKILL.md:18-24 gates; references/85 WCAG2.2AA confirmed; remaining refs not exhaustive	Not assessed	Defer	Retain accessibility target; no whole-skill None claim	RTL; keyboard; focus; tokens; visual review	Design checker and target accessibility evidence	High WCAG; medium coverage	https://www.w3.org/TR/WCAG22/
alaa-vue-typescript-clean-code	Frontend/framework	references/20:157 distinguishes Vue3.6RC from stable3.5; full examples unverified	Not assessed	Defer	Retain stable/preview distinction	Strictness; component typing; version gate	Frontend version check and target typecheck	High distinction; medium coverage	https://github.com/vuejs/core/releases
alaa-workflow	Governance/workflow	SKILL.md:18 plan/checkpoint/lifecycle; source root lifecycle gate passed; scripts not exhaustively audited	Not assessed	Defer	Retain current workflow; use it only after user selection	State ownership; cold start; lifecycle; commit authority	Selected plan/checkpoint validator in Stage B; existing source evidence separately	Medium	Repository workflow owner
ansible-generator	Infrastructure/automation	SKILL.md:32-76 author/validator split; controller unknown	Not assessed	Defer	Keep generator role until target compatibility review	Idempotence; FQCN; secret boundaries	Template checks plus target validator	Medium	https://docs.ansible.com/
ansible-validator	Infrastructure/automation	scripts/requirements.txt:1-20 core>=2.19 floor; stable2.21 does not invalidate supported floor	Minor	P2	Schedule compatibility/EOL review; no immediate floor bump	Supported older controllers; security; Molecule gates	Self-test and exact installed controller/tool detection	Medium	https://docs.ansible.com/projects/ansible/latest/reference_appendices/release_and_maintenance.html
caas-arvan-kuber	Infrastructure/platform	SKILL.md:76 malformed Python command; capability matrix capture unknown	Minor	P0	F01 resolve correct skill checker path; W5 platform evidence separately	Live cluster precedence; RBAC; Secret policy; arvan profile	Command-path fixture; summarize-openapi --check when valid captured spec available	High command; platform unknown	Repository checker; official provider source ledger
clickhouse-performance-schema-ops	Data/operations	references/90-source-map dated July; upstream26.9 versus unknown target	Minor	P2	W4 selected SQL feature/version provenance review	Tenant ORDER BY; mutation authority; target schema	DDL checker and target SELECT version/schema	Medium	https://clickhouse.com/blog/clickhouse-release-26-09
jitsi-platform-architect	Infrastructure/integrations	references/90-source-map.md:16-24 multiple explicitly unverified rows	Not assessed	Defer	Obtain target deployment and current docs before change	Opaque rooms; scoped JWT; recording notice	Own checker and target integration proof	Medium	https://jitsi.github.io/handbook/
service-runtime-kit-governance	Infrastructure/governance	SKILL.md:55 unqualified commit directive conflicts with higher permission rule	Minor	P0	F02 explicit commit authorization, preserve local regeneration	Generated ownership; reuse; secret checks; kit pin	Authority scenarios; generated diff/native contract checks	High instruction; no unauthorized effect	Current sibling kit required for domain changes
tusd-upload-platform	Data/integrations	references/10-source-map.md:26-33 tusd2.9.2/client4.3.1 and client5 preview distinction	Not assessed	Defer	Retain distinction; no version defect shown; consumer/client latest unknown	Resumable protocol; upload authority; version boundaries	Exact consumer protocol/client/server checks	Medium	https://github.com/tus/tusd/releases
vector-rust-observability-pipelines	Infrastructure/observability	references/80-version-and-upgrade-deltas.md:5-25 0.57 snapshot versus stable0.58	Minor	P1	W4 version delta and chart appVersion review; no install	Delivery/acks; VRL; secret interpolation; vdev exclusion	Version checker; exact vector validate/test and chart compatibility	High	https://github.com/vectordotdev/vector/releases
