skill,category,A_instruction_design,B_domain_accuracy,C_ownership_packaging,current_issue_evidence,change_size,priority,proposed_change,preserved_capabilities,dependencies,risk,expected_benefit,validation,confidence,official_or_authoritative_source
alaa-controlled-ops,Governance/ownership,Body inspected; specific defects and preservation listed. Full-reference coverage limited unless noted.,Partial: consumer applicability and uninspected API/command examples not certified; see versions.md.,Inventory/dependencies captured; root structure/index/reference/lifecycle gates pass. Domain gates separate.,SKILL.md:24 clear package/adopter ownership; adopter evidence unavailable,Not assessed,Defer,Inspect actual package and adopter before classification,Source ranking; hashes; replay/conflict; release permission,alaa-data-layer; alaa-observability-soc; alaa-permission-generator; alaa-php-clean-code; alaa-postman-collections; alaa-project-constitution; alaa-prompting-guide; alaa-reliability-sla; alaa-repo-docs; alaa-security-review; alaa-services-contract; alaa-testing-strategy; alaa-trust-gateway-auth; service-runtime-kit-governance,Behavior regression if guards/examples are removed; do not edit unassessed surfaces.,No measured benefit; retain current behavior until evidence justifies change.,Owner/adopter hash and gate evidence,Medium,Current package and adopter repository required
alaa-crockford-base32-codecs,Backend/codecs,Body inspected; specific defects and preservation listed. Full-reference coverage limited unless noted.,Partial: consumer applicability and uninspected API/command examples not certified; see versions.md.,Inventory/dependencies captured; root structure/index/reference/lifecycle gates pass. Domain gates separate.,SKILL.md:19-25 requires four-runtime parity; harness not executed,Not assessed,Defer,No rewrite inferred from age; inspect/run selected conformance separately,Exact wire parity; collision rejection; missing-runtime labels,alaa-frontend-developer; alaa-haproxy; alaa-haproxy-lua; alaa-php-clean-code; alaa-project-constitution; alaa-security-review; alaa-services-contract; alaa-testing-strategy; alaa-trust-gateway-auth,Behavior regression if guards/examples are removed; do not edit unassessed surfaces.,No measured benefit; retain current behavior until evidence justifies change.,Existing corpus across all implementations,Medium,Repository codec contract and corpus
alaa-data-layer,Data/storage,Body inspected; specific defects and preservation listed. Full-reference coverage limited unless noted.,Partial: consumer applicability and uninspected API/command examples not certified; see versions.md.,Inventory/dependencies captured; root structure/index/reference/lifecycle gates pass. Domain gates separate.,references/50-redis-laravel-octane.md:8-9 unverified July framework snapshot,Minor,P1,W4 refresh selected version-specific guidance against consumers,Postgres truth; tenancy; Redis expiry; transaction semantics,alaa-algorithms-data-structures; alaa-async-messaging; alaa-cicd-laravel-postgres; alaa-go-chi-development; alaa-golang; alaa-golang-clean-code-principles; alaa-keyset-pagination; alaa-laravel-architecture; alaa-laravel-job-rabbitmq; alaa-minio-object-storage; alaa-mongodb-patterns; alaa-observability-soc; alaa-octane-performance; alaa-partitioned-table-fk-audit; alaa-php-clean-code; alaa-project-constitution; alaa-prompting-guide; alaa-reliability-sla; alaa-security-review; alaa-services-contract; alaa-system-design; alaa-testing-strategy,Behavior regression if guards/examples are removed; do not edit unassessed surfaces.,Hypothesis: fewer execution/compatibility mistakes and clearer routing; no speed or cost improvement measured.,Consumer lock/runtime and targeted data failure cases,High for dated gap,https://laravel.com/docs/13.x/redis
alaa-docker-production,Infrastructure/operations,Body inspected; specific defects and preservation listed. Full-reference coverage limited unless noted.,Partial: consumer applicability and uninspected API/command examples not certified; see versions.md.,Inventory/dependencies captured; root structure/index/reference/lifecycle gates pass. Domain gates separate.,SKILL.md:34-45 rendered/final-stage gates; target Docker unknown,Not assessed,Defer,Preserve guidance pending exact target compatibility,Secrets; nonroot; rendered config and actual image proof,alaa-algorithms-data-structures; alaa-arvan-object-storage; alaa-bash-shell; alaa-cicd-laravel-postgres; alaa-controlled-ops; alaa-data-layer; alaa-frontend-devops; alaa-gitlab-ci-cd; alaa-haproxy; alaa-haproxy-lua; alaa-k8s-helm; alaa-makefile; alaa-minio-object-storage; alaa-observability-soc; alaa-octane-performance; alaa-project-constitution; alaa-prompting-guide; alaa-reliability-sla; alaa-security-review; alaa-services-contract; alaa-system-design; alaa-testing-strategy; alaa-trust-gateway-auth; caas-arvan-kuber; service-runtime-kit-governance; vector-rust-observability-pipelines,Behavior regression if guards/examples are removed; do not edit unassessed surfaces.,No measured benefit; retain current behavior until evidence justifies change.,Compose config; own checker; target runtime,Medium,https://docs.docker.com/
alaa-extract-agent-lessons,Governance/knowledge,Body inspected; specific defects and preservation listed. Full-reference coverage limited unless noted.,Partial: consumer applicability and uninspected API/command examples not certified; see versions.md.,Inventory/dependencies captured; root structure/index/reference/lifecycle gates pass. Domain gates separate.,SKILL.md:36 admission/provenance clear; full reference/script audit absent,Not assessed,Defer,Retain inspected behavior; no rewrite justified,Empty-result success; workflow/memory separation; publication authority,alaa-memory-os; alaa-prompting-guide; alaa-workflow,Behavior regression if guards/examples are removed; do not edit unassessed surfaces.,No measured benefit; retain current behavior until evidence justifies change.,Selected artifact checker and admission rejection scenarios,Medium,Repository admission and provenance contracts
alaa-frontend-developer,Frontend/design,Body inspected; specific defects and preservation listed. Full-reference coverage limited unless noted.,Partial: consumer applicability and uninspected API/command examples not certified; see versions.md.,Inventory/dependencies captured; root structure/index/reference/lifecycle gates pass. Domain gates separate.,SKILL.md:20-63 clear gates/router; consumer and deep examples unverified,Not assessed,Defer,Preserve body until consumer-specific audit,SSR; auth/token boundaries; browser/runtime proof,alaa-algorithms-data-structures; alaa-arvan-object-storage; alaa-async-messaging; alaa-crockford-base32-codecs; alaa-data-layer; alaa-frontend-devops; alaa-frontend-doc-annotations; alaa-indexeddb-browser-storage; alaa-input-normalization; alaa-keyset-pagination; alaa-laravel-architecture; alaa-low-noise; alaa-minio-object-storage; alaa-mono-package; alaa-observability-soc; alaa-permission-generator; alaa-project-constitution; alaa-prompting-guide; alaa-quasar-app-vite-v3; alaa-reliability-sla; alaa-security-review; alaa-services-contract; alaa-shaka-player; alaa-system-design; alaa-testing-strategy; alaa-trust-gateway-auth; alaa-ui-ux-design-system; alaa-vue-typescript-clean-code; alaa-x; tusd-upload-platform,Behavior regression if guards/examples are removed; do not edit unassessed surfaces.,No measured benefit; retain current behavior until evidence justifies change.,Target build/type/browser evidence,Medium,https://vuejs.org/
alaa-frontend-devops,Frontend/delivery,Body inspected; specific defects and preservation listed. Full-reference coverage limited unless noted.,Partial: consumer applicability and uninspected API/command examples not certified; see versions.md.,Inventory/dependencies captured; root structure/index/reference/lifecycle gates pass. Domain gates separate.,SKILL.md:22-26 artifact/provenance gates; July client snapshot,Not assessed,Defer,Check consumer build contract before changes,Public-bundle boundaries; commit/artifact provenance,alaa-algorithms-data-structures; alaa-arvan-object-storage; alaa-docker-production; alaa-frontend-developer; alaa-frontend-doc-annotations; alaa-gitlab-ci-cd; alaa-haproxy; alaa-input-normalization; alaa-makefile; alaa-minio-object-storage; alaa-mono-package; alaa-observability-soc; alaa-project-constitution; alaa-prompting-guide; alaa-quasar-app-vite-v3; alaa-reliability-sla; alaa-security-review; alaa-services-contract; alaa-testing-strategy; alaa-vue-typescript-clean-code,Behavior regression if guards/examples are removed; do not edit unassessed surfaces.,No measured benefit; retain current behavior until evidence justifies change.,verify-artifact-contract and consumer build,Medium,https://vite.dev/
alaa-frontend-doc-annotations,Documentation,Body inspected; specific defects and preservation listed. Full-reference coverage limited unless noted.,Partial: consumer applicability and uninspected API/command examples not certified; see versions.md.,Inventory/dependencies captured; root structure/index/reference/lifecycle gates pass. Domain gates separate.,SKILL.md:30-53 freshness rules; live-client claim dated July,Not assessed,Defer,Verify target source before refreshing annotations,Verified dates; security annotations; source ownership,alaa-algorithms-data-structures; alaa-controlled-ops; alaa-frontend-developer; alaa-indexeddb-browser-storage; alaa-input-normalization; alaa-low-noise; alaa-observability-soc; alaa-octane-performance; alaa-permission-generator; alaa-php-clean-code; alaa-project-constitution; alaa-prompting-guide; alaa-quasar-app-vite-v3; alaa-repo-docs; alaa-security-review; alaa-services-contract; alaa-testing-strategy; alaa-trust-gateway-auth; alaa-vue-typescript-clean-code; alaa-workflow,Behavior regression if guards/examples are removed; do not edit unassessed surfaces.,No measured benefit; retain current behavior until evidence justifies change.,Own annotation checker on current consumer,Medium,https://www.typescriptlang.org/docs/
alaa-gitlab-ci-cd,Infrastructure/delivery,Body inspected; specific defects and preservation listed. Full-reference coverage limited unless noted.,Partial: consumer applicability and uninspected API/command examples not certified; see versions.md.,Inventory/dependencies captured; root structure/index/reference/lifecycle gates pass. Domain gates separate.,references/feature-version-notes.md:40+ snapshot19.2 versus stable19.4,Minor,P2,W4 refresh feature ledger without raising minimum blindly,Instance/Runner authority; lint gates; authorization,alaa-algorithms-data-structures; alaa-arvan-object-storage; alaa-bash-shell; alaa-cicd-laravel-postgres; alaa-controlled-ops; alaa-docker-production; alaa-frontend-devops; alaa-haproxy; alaa-k8s-helm; alaa-makefile; alaa-minio-object-storage; alaa-observability-soc; alaa-project-constitution; alaa-prompting-guide; alaa-reliability-sla; alaa-security-review; alaa-services-contract; alaa-system-design; alaa-testing-strategy; caas-arvan-kuber; service-runtime-kit-governance,Behavior regression if guards/examples are removed; do not edit unassessed surfaces.,Hypothesis: fewer execution/compatibility mistakes and clearer routing; no speed or cost improvement measured.,Own checker and CI lint against selected target version,High,https://about.gitlab.com/whats-new/
alaa-go-chi-development,Backend/Go,Body inspected; specific defects and preservation listed. Full-reference coverage limited unless noted.,Partial: consumer applicability and uninspected API/command examples not certified; see versions.md.,Inventory/dependencies captured; root structure/index/reference/lifecycle gates pass. Domain gates separate.,"SKILL.md:19-25,46-63 defers facts to kit; kit not inspected",Not assessed,Defer,Keep kit authority; assess current kit before changes,Kit phase/ownership boundaries; consumer compatibility,alaa-algorithms-data-structures; alaa-async-messaging; alaa-controlled-ops; alaa-data-layer; alaa-docker-production; alaa-gitlab-ci-cd; alaa-go-chi; alaa-golang; alaa-golang-clean-code-principles; alaa-k8s-helm; alaa-low-noise; alaa-observability-soc; alaa-permission-generator; alaa-postman-collections; alaa-project-constitution; alaa-prompting-guide; alaa-reliability-sla; alaa-repo-docs; alaa-security-review; alaa-services-contract; alaa-system-design; alaa-testing-strategy; alaa-trust-gateway-auth; caas-arvan-kuber; service-runtime-kit-governance,Behavior regression if guards/examples are removed; do not edit unassessed surfaces.,No measured benefit; retain current behavior until evidence justifies change.,Current kit manifests and gates,Medium,Current alaa-go-chi kit required
alaa-golang,Backend/Go,Body inspected; specific defects and preservation listed. Full-reference coverage limited unless noted.,Partial: consumer applicability and uninspected API/command examples not certified; see versions.md.,Inventory/dependencies captured; root structure/index/reference/lifecycle gates pass. Domain gates separate.,references/70-modern-go-baseline.md:10 kit1.26.5 snapshot; stable1.27.1,Minor,P1,W4 version-aware baseline review; no automatic toolchain migration,Kit go.mod authority; compatibility; proof,alaa-algorithms-data-structures; alaa-async-messaging; alaa-bale-provider; alaa-cc-orchestrator; alaa-code-intelligence-routing; alaa-codex-orchestrator; alaa-controlled-ops; alaa-crockford-base32-codecs; alaa-data-layer; alaa-docker-production; alaa-gitlab-ci-cd; alaa-go-chi; alaa-go-chi-development; alaa-golang-clean-code-principles; alaa-golang-fiber; alaa-haproxy; alaa-k8s-helm; alaa-keyset-pagination; alaa-low-noise; alaa-makefile; alaa-memory-os; alaa-minio-object-storage; alaa-mongodb-patterns; alaa-mono-package; alaa-observability-soc; alaa-partitioned-table-fk-audit; alaa-permission-generator; alaa-postman-collections; alaa-project-constitution; alaa-prompting-guide; alaa-reliability-sla; alaa-repo-docs; alaa-security-review; alaa-services-contract; alaa-signoz-clickhouse-docs; alaa-sms-provider-mediana; alaa-system-design; alaa-testing-strategy; alaa-trust-gateway-auth; alaa-workflow; caas-arvan-kuber; service-runtime-kit-governance; tusd-upload-platform,Behavior regression if guards/examples are removed; do not edit unassessed surfaces.,Hypothesis: fewer execution/compatibility mistakes and clearer routing; no speed or cost improvement measured.,Kit/consumer go.mod and exact toolchain tests,High,https://go.dev/doc/devel/release
alaa-golang-clean-code-principles,Backend/Go,Body inspected; specific defects and preservation listed. Full-reference coverage limited unless noted.,Partial: consumer applicability and uninspected API/command examples not certified; see versions.md.,Inventory/dependencies captured; root structure/index/reference/lifecycle gates pass. Domain gates separate.,"SKILL.md:47-69,75-95 principle routes; kit evidence missing",Not assessed,Defer,Retain principles pending source-linked kit review,Principle numbering; proof; owner boundaries,alaa-algorithms-data-structures; alaa-async-messaging; alaa-bale-provider; alaa-code-intelligence-routing; alaa-docker-production; alaa-gitlab-ci-cd; alaa-go-chi; alaa-go-chi-development; alaa-golang; alaa-k8s-helm; alaa-lint; alaa-metricname-lint; alaa-observability-soc; alaa-project-constitution; alaa-prompting-guide; alaa-reliability-sla; alaa-security-review; alaa-services-contract; alaa-sms-provider-mediana; alaa-structtag-lint; alaa-system-design; alaa-testing-strategy; alaa-trust-gateway-auth; alaa-uuid-lint; alaa-vue-typescript-clean-code,Behavior regression if guards/examples are removed; do not edit unassessed surfaces.,No measured benefit; retain current behavior until evidence justifies change.,Selected kit examples and native Go checks,Medium,Current kit source required
alaa-golang-fiber,Backend/Go,Body inspected; specific defects and preservation listed. Full-reference coverage limited unless noted.,Partial: consumer applicability and uninspected API/command examples not certified; see versions.md.,Inventory/dependencies captured; root structure/index/reference/lifecycle gates pass. Domain gates separate.,references/SOURCES.md:29 v3.3.0/go1.25 snapshot; exact latest patch not verified,Not assessed,Defer,Reverify APIs before choosing an update,Fiber v3 boundaries; dated API evidence,alaa-data-layer; alaa-go-chi-development; alaa-golang; alaa-golang-clean-code-principles; alaa-haproxy; alaa-observability-soc; alaa-prompting-guide; alaa-reliability-sla; alaa-security-review; alaa-services-contract; alaa-testing-strategy; alaa-trust-gateway-auth,Behavior regression if guards/examples are removed; do not edit unassessed surfaces.,No measured benefit; retain current behavior until evidence justifies change.,Installed pin and relevant API examples,Medium,https://docs.gofiber.io/next/whats_new/
alaa-haproxy,Infrastructure/operations,Body inspected; specific defects and preservation listed. Full-reference coverage limited unless noted.,Partial: consumer applicability and uninspected API/command examples not certified; see versions.md.,Inventory/dependencies captured; root structure/index/reference/lifecycle gates pass. Domain gates separate.,references/10-version-and-branch.md:8 3.4.2 snapshot versus3.4.5,Minor,P2,W4 refresh supported-branch ledger,Branch/LTS choice; parser proof; security behavior,alaa-algorithms-data-structures; alaa-controlled-ops; alaa-crockford-base32-codecs; alaa-docker-production; alaa-frontend-devops; alaa-gitlab-ci-cd; alaa-haproxy-lua; alaa-k8s-helm; alaa-makefile; alaa-observability-soc; alaa-project-constitution; alaa-prompting-guide; alaa-reliability-sla; alaa-security-review; alaa-services-contract; alaa-system-design; alaa-testing-strategy; alaa-trust-gateway-auth; caas-arvan-kuber; service-runtime-kit-governance,Behavior regression if guards/examples are removed; do not edit unassessed surfaces.,Hypothesis: fewer execution/compatibility mistakes and clearer routing; no speed or cost improvement measured.,Own checker plus haproxy -c on target binary,High,https://www2.haproxy.org/
alaa-haproxy-lua,Infrastructure/operations,Body inspected; specific defects and preservation listed. Full-reference coverage limited unless noted.,Partial: consumer applicability and uninspected API/command examples not certified; see versions.md.,Inventory/dependencies captured; root structure/index/reference/lifecycle gates pass. Domain gates separate.,SKILL.md:25-40 native-first/nil/yield rules; target API unverified,Not assessed,Defer,Retain rules until exact binary/API audit,Failure/security distinction; yield and nil guards,alaa-algorithms-data-structures; alaa-cc-orchestrator; alaa-codex-orchestrator; alaa-crockford-base32-codecs; alaa-haproxy; alaa-observability-soc; alaa-project-constitution; alaa-prompting-guide; alaa-reliability-sla; alaa-security-review; alaa-services-contract; alaa-testing-strategy; alaa-trust-gateway-auth,Behavior regression if guards/examples are removed; do not edit unassessed surfaces.,No measured benefit; retain current behavior until evidence justifies change.,Own checker and target HAProxy Lua scenarios,Medium,https://www.haproxy.com/documentation/haproxy-lua-api/
alaa-indexeddb-browser-storage,Frontend/storage,Body inspected; specific defects and preservation listed. Full-reference coverage limited unless noted.,Partial: consumer applicability and uninspected API/command examples not certified; see versions.md.,Inventory/dependencies captured; root structure/index/reference/lifecycle gates pass. Domain gates separate.,SKILL.md:14-35 boundaries; references/99-sources.md:3 July browser snapshot,Not assessed,Defer,Validate selected browser APIs and supported versions first,Transaction completion; secret exclusion; eviction; multi-tab,alaa-algorithms-data-structures; alaa-async-messaging; alaa-client-storage; alaa-crockford-base32-codecs; alaa-data-layer; alaa-frontend-developer; alaa-indexeddb-adr; alaa-input-normalization; alaa-keyset-pagination; alaa-observability-soc; alaa-permission-generator; alaa-project-constitution; alaa-prompting-guide; alaa-quasar-app-vite-v3; alaa-reliability-sla; alaa-security-review; alaa-services-contract; alaa-shaka-player; alaa-testing-strategy; alaa-trust-gateway-auth; alaa-vue-typescript-clean-code; alaa-x,Behavior regression if guards/examples are removed; do not edit unassessed surfaces.,No measured benefit; retain current behavior until evidence justifies change.,Target browser storage and failure scenarios,Medium,https://www.w3.org/TR/IndexedDB/
alaa-input-normalization,Backend/contracts,Body and all 6 references inspected; two specific contradictions found.,Python reference self-test passed; NFC corpus and official Laravel source support defects; four-runtime and middleware proof unrun.,Inventory/dependencies captured; root structure/index/reference/lifecycle gates pass. Domain gates separate.,"references/10-normalization-contract.md:70-73,112-114 contradict NFC length; references/30-backend-middleware-binding.md:44-65 undefined fieldName",Minor,P1,F11 correct invariant relative to NFC(input); complete Laravel helper example,Nd folding; NFC; text/typed split; value-only traversal; before-validation order; corpus,alaa-bale-provider; alaa-crockford-base32-codecs; alaa-digit-normalizer; alaa-go-chi-development; alaa-haproxy-lua; alaa-laravel-architecture; alaa-normalization-conformance; alaa-prompting-guide; alaa-security-review; alaa-services-contract; alaa-sms-provider-mediana; alaa-testing-strategy; alaa-trust-gateway-auth; alaa-ui-ux-design-system; alaa-vue-typescript-clean-code,Behavior regression if guards/examples are removed; do not edit unassessed surfaces.,Hypothesis: fewer execution/compatibility mistakes and clearer routing; no speed or cost improvement measured.,Four-runtime harness; Laravel nested field example; decomposed-Unicode regression; Python-only self-test already passed,High,https://github.com/laravel/framework/blob/13.x/src/Illuminate/Foundation/Http/Middleware/TransformsRequest.php
